source,target,date_followed
436886,481517,2010-04-01 17:46:16
349134,391437,2010-04-01 17:46:19
431324,431320,2010-04-01 17:49:24
431324,290685,2010-04-01 17:49:31
382983,116529,2010-04-01 17:50:05
444842,470912,2010-04-01 17:50:16
481514,436886,2010-04-01 17:52:35
444842,14782,2010-04-01 17:53:27
431324,437133,2010-04-01 17:54:14
135251,434177,2010-04-01 17:55:23
449211,450578,2010-04-01 17:55:43
476310,478854,2010-04-01 17:58:4
909120,777965,2011-08-10 01:29:01
909120,894645,2011-08-10 01:30:10
909120,880668,2011-08-10 01:30:31
588279,726400,2011-08-10 01:32:42
905293,913759,2011-08-10 01:34:22
913700,910001,2011-08-10 01:38:35
910001,913700,2011-08-10 01:39:16
910001,841681,2011-08-10 01:41:50
913759,778493,2011-08-10 01:46:50
898711,785904,2011-08-10 01:48:10
909909,666057,2011-08-10 01:48:11
913016,901987,2011-08-10 01:49:00
856804,901019,2011-08-10 01:51:44
745883,716167,2011-08-10 01:54:01
745883,912845,2011-08-10 01:54:28
427672,834698,2011-08-10 01:54:46
427672,449803,2011-08-10 01:58:46
599777,782241,2011-08-10 01:59:25
842129,882473,2011-08-10 01:59:31
785904,898711,2011-08-10 02:02:20
912845,745883,2011-08-10 02:12:36
912845,716167,2011-08-10 02:12:41
497765,201058,2011-08-10 02:21:03
913765,616662,2011-08-10 02:23:05
683826,913775,2011-08-10 02:23:50
757500,905293,2011-08-10 02:28:44
757500,913759,2011-08-10 02:28:55
94322,461840,2011-08-10 02:31:40
625491,142202,2011-08-10 02:32:09
863386,404297,2011-08-10 02:37:47
911796,603364,2011-08-10 02:39:17
911796,905631,2011-08-10 02:39:27
911796,450294,2011-08-10 02:39:31
911796,504339,2011-08-10 02:39:35
911796,668037,2011-08-10 02:39:40
911796,813760,2011-08-10 02:40:00
911796,424756,2011-08-10 02:40:11
911796,436630,2011-08-10 02:40:28
911796,448400,2011-08-10 02:40:38
911796,775150,2011-08-10 02:40:47
911796,741513,2011-08-10 02:40:55
706244,348603,2011-08-10 02:46:34
882384,806385,2011-08-10 02:51:18
913813,899199,2011-08-10 02:52:17
636283,910001,2011-08-10 02:56:52
882384,764903,2011-08-10 02:57:35
716951,896910,2011-08-10 02:58:34
899199,913813,2011-08-10 03:03:31
621063,748727,2011-08-10 03:04:02
899199,912018,2011-08-10 03:04:25
723218,911065,2011-08-10 03:05:10
913813,912018,2011-08-10 03:05:00
1286152,348603,2012-03-29 20:11:48
1208026,1152576,2012-03-29 20:17:34
951353,1030816,2012-03-29 20:23:05
1226897,935342,2012-03-29 20:26:13
1016820,1285445,2012-03-29 20:26:30
1226897,949972,2012-03-29 20:26:34
1226897,545305,2012-03-29 20:26:39
1134600,1237668,2012-03-29 20:27:59
1276125,1278714,2012-03-29 20:28:45
1276125,1285651,2012-03-29 20:29:48
1237668,1134600,2012-03-29 20:31:41
1286152,1202285,2012-03-29 20:32:24
1208200,1280875,2012-03-29 20:32:38
1139404,574131,2012-03-29 20:32:40
142459,594229,2012-03-29 20:33:19
1257932,393789,2012-03-29 20:34:01
1010023,486833,2012-03-29 20:34:05
1257932,1144573,2012-03-29 20:34:11
1257932,666553,2012-03-29 20:34:32
1153674,881205,2012-03-29 20:34:51
1208200,911633,2012-03-29 20:34:57
1257932,1241025,2012-03-29 20:35:02
1170365,103700,2012-03-29 20:35:43
1257932,1146216,2012-03-29 20:35:49
1257932,757500,2012-03-29 20:36:02
640131,1253834,2012-03-29 20:36:32
1286152,1256599,2012-03-29 20:37:09
308367,622170,2012-03-29 20:37:17
308367,39526,2012-03-29 20:37:43
1208200,1279430,2012-03-29 20:39:30
1257932,831866,2012-03-29 20:39:46
